SRR5291883_2.fastq	362_S362_L001_R2_001.fastq
SRR5291882_1.fastq	363_S363_L001_R1_001.fastq
SRR5291882_2.fastq	363_S363_L001_R2_001.fastq
SRR5291881_1.fastq	364_S364_L001_R1_001.fastq
SRR5291881_2.fastq	364_S364_L001_R2_001.fastq
SRR5291880_1.fastq	365_S365_L001_R1_001.fastq
SRR5291880_2.fastq	365_S365_L001_R2_001.fastq
SRR5291879_1.fastq	366_S366_L001_R1_001.fastq
SRR5291879_2.fastq	366_S366_L001_R2_001.fastq
SRR5291878_1.fastq	367_S367_L001_R1_001.fastq
SRR5291878_2.fastq	367_S367_L001_R2_001.fastq
SRR5291877_1.fastq	368_S368_L001_R1_001.fastq
SRR5291877_2.fastq	368_S368_L001_R2_001.fastq
SRR5291876_1.fastq	369_S369_L001_R1_001.fastq
SRR5291876_2.fastq	369_S369_L001_R2_001.fastq
SRR5291875_1.fastq	370_S370_L001_R1_001.fastq
SRR5291875_2.fastq	370_S370_L001_R2_001.fastq
SRR5291874_1.fastq	372_S372_L001_R1_001.fastq
SRR5291874_2.fastq	372_S372_L001_R2_001.fastq
SRR5291873_1.fastq	374_S374_L001_R1_001.fastq
SRR5291873_2.fastq	374_S374_L001_R2_001.fastq
SRR5291872_1.fastq	375_S375_L001_R1_001.fastq
SRR5291872_2.fastq	375_S375_L001_R2_001.fastq
SRR5291871_1.fastq	376_S376_L001_R1_001.fastq
SRR5291871_2.fastq	376_S376_L001_R2_001.fastq
SRR5291870_1.fastq	377_S377_L001_R1_001.fastq
SRR5291870_2.fastq	377_S377_L001_R2_001.fastq
SRR5291869_1.fastq	378_S378_L001_R1_001.fastq
SRR5291869_2.fastq	378_S378_L001_R2_001.fastq
SRR5291868_1.fastq	379_S379_L001_R1_001.fastq
SRR5291868_2.fastq	379_S379_L001_R2_001.fastq
SRR5291867_1.fastq	380_S380_L001_R1_001.fastq
SRR5291867_2.fastq	380_S380_L001_R2_001.fastq
SRR5291866_1.fastq	381_S381_L001_R1_001.fastq
SRR5291866_2.fastq	381_S381_L001_R2_001.fastq
SRR5291865_1.fastq	382_S382_L001_R1_001.fastq
SRR5291865_2.fastq	382_S382_L001_R2_001.fastq
SRR5291864_1.fastq	481_S481_L001_R1_001.fastq
SRR5291864_2.fastq	481_S481_L001_R2_001.fastq
SRR5291863_1.fastq	482_S482_L001_R1_001.fastq
SRR5291863_2.fastq	482_S482_L001_R2_001.fastq
SRR5291862_1.fastq	483_S483_L001_R1_001.fastq
SRR5291862_2.fastq	483_S483_L001_R2_001.fastq
SRR5291861_1.fastq	484_S484_L001_R1_001.fastq
SRR5291861_2.fastq	484_S484_L001_R2_001.fastq
SRR5291860_1.fastq	485_S485_L001_R1_001.fastq
SRR5291860_2.fastq	485_S485_L001_R2_001.fastq
SRR5291859_1.fastq	486_S486_L001_R1_001.fastq
SRR5291859_2.fastq	486_S486_L001_R2_001.fastq
SRR5291858_1.fastq	487_S487_L001_R1_001.fastq
SRR5291858_2.fastq	487_S487_L001_R2_001.fastq
SRR5291857_1.fastq	488_S488_L001_R1_001.fastq
SRR5291857_2.fastq	488_S488_L001_R2_001.fastq
SRR5291856_1.fastq	490_S490_L001_R1_001.fastq
SRR5291856_2.fastq	490_S490_L001_R2_001.fastq
SRR5291855_1.fastq	491_S491_L001_R1_001.fastq
SRR5291855_2.fastq	491_S491_L001_R2_001.fastq
SRR5291854_1.fastq	492_S492_L001_R1_001.fastq
SRR5291854_2.fastq	492_S492_L001_R2_001.fastq
SRR5291853_1.fastq	493_S493_L001_R1_001.fastq
SRR5291853_2.fastq	493_S493_L001_R2_001.fastq
SRR5291852_1.fastq	494_S494_L001_R1_001.fastq
SRR5291852_2.fastq	494_S494_L001_R2_001.fastq
SRR5291851_1.fastq	496_S496_L001_R1_001.fastq
SRR5291851_2.fastq	496_S496_L001_R2_001.fastq
SRR5291850_1.fastq	497_S497_L001_R1_001.fastq
SRR5291850_2.fastq	497_S497_L001_R2_001.fastq
SRR5291849_1.fastq	498_S498_L001_R1_001.fastq
SRR5291849_2.fastq	498_S498_L001_R2_001.fastq
SRR5291848_1.fastq	499_S499_L001_R1_001.fastq
SRR5291848_2.fastq	499_S499_L001_R2_001.fastq
SRR5291847_1.fastq	500_S500_L001_R1_001.fastq
SRR5291847_2.fastq	500_S500_L001_R2_001.fastq
SRR5291846_1.fastq	501_S501_L001_R1_001.fastq
SRR5291846_2.fastq	501_S501_L001_R2_001.fastq
SRR5291845_1.fastq	502_S502_L001_R1_001.fastq
SRR5291845_2.fastq	502_S502_L001_R2_001.fastq
SRR5291844_1.fastq	503_S503_L001_R1_001.fastq
SRR5291844_2.fastq	503_S503_L001_R2_001.fastq
SRR5291843_1.fastq	504_S504_L001_R1_001.fastq
SRR5291843_2.fastq	504_S504_L001_R2_001.fastq
SRR5291842_1.fastq	505_S505_L001_R1_001.fastq
SRR5291842_2.fastq	505_S505_L001_R2_001.fastq
SRR5291841_1.fastq	506_S506_L001_R1_001.fastq
SRR5291841_2.fastq	506_S506_L001_R2_001.fastq
SRR5291840_1.fastq	508_S508_L001_R1_001.fastq
SRR5291840_2.fastq	508_S508_L001_R2_001.fastq
SRR5291839_1.fastq	509_S509_L001_R1_001.fastq
SRR5291839_2.fastq	509_S509_L001_R2_001.fastq
SRR5291838_1.fastq	510_S510_L001_R1_001.fastq
SRR5291838_2.fastq	510_S510_L001_R2_001.fastq
SRR5291837_1.fastq	511_S511_L001_R1_001.fastq
SRR5291837_2.fastq	511_S511_L001_R2_001.fastq
SRR5291836_1.fastq	512_S512_L001_R1_001.fastq
SRR5291836_2.fastq	512_S512_L001_R2_001.fastq
SRR5291835_1.fastq	514_S514_L001_R1_001.fastq
SRR5291835_2.fastq	514_S514_L001_R2_001.fastq
