#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S494	2	110	133079	Steer	Finishing	2013	802.1	78	10.28	155.4	1.99	0.194	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	No	NA
S496	2	112	133631	Steer	Finishing	2013	692.2	78	8.87	149.8	1.92	0.216	0	0	0	0.25	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	No	NA
S497	2	113	133402	Steer	Finishing	2013	858	78	11	173.9	2.23	0.203	0	0	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	Yes	BWGH-DMIH
S498	2	114	133130	Steer	Finishing	2013	674.8	78	8.65	130.7	1.68	0.194	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	No	NA
S499	2	115	133358	Steer	Finishing	2013	732.5	78	9.39	133.8	1.72	0.183	0.5	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S500	2	116	133341	Steer	Finishing	2013	888.8	78	11.39	156.7	2.01	0.176	0.5	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	No	NA
S501	2	117	133377	Steer	Finishing	2013	770.6	78	9.88	141.1	1.81	0.183	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	No	NA
S502	2	118	133128	Steer	Finishing	2013	797	78	10.22	156.8	2.01	0.197	0	0.125	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.125	0	0	No	NA
S503	2	119	133661	Steer	Finishing	2013	655.2	78	8.4	147.5	1.89	0.225	0.375	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	No	NA
S504	2	120	133009	Steer	Finishing	2013	831.1	78	10.66	165.4	2.12	0.199	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S505	2	121	133111	Steer	Finishing	2013	662.4	78	8.49	149.1	1.91	0.225	0.5	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.125	0	0	0	0	0	0	No	NA
S506	2	122	133653	Steer	Finishing	2013	767.5	78	9.84	156.9	2.01	0.204	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	No	NA
